"ncm","class","sub"
"5404",Monofilamentos Sintéticos,"Monofilamentos sintéticos, de título igual ou superior a 67 decitex e cuja maior dimensão da seção transversal não seja superior a 1 mm, lâminas e formas semelhantes (palha artificial, por exemplo) de matérias têxteis sintéticas, cuja largura aparente não seja superior a 5 mm."
"2815",Hidróxidos De Sódio,"Hidróxido de sódio (soda cáustica), hidróxido de potássio (potassa cáustica), peróxidos de sódio ou de potássio."
"5402",Fios De Filamentos Sintéticos,"Fios de filamentos sintéticos (exceto linhas para costurar), não acondicionados para venda a retalho, incluindo os monofilamentos sintéticos de título inferior a 67 decitex."
"3827", Derivados Halogenados Do Metano E Similares,"Misturas que contenham derivados halogenados do metano, do etano ou do propano, não especificadas nem compreendidas noutras posições."
"4806",Papel-Pergaminho,"Papel-pergaminho e cartão-pergaminho (sulfurizados), papel impermeável a gorduras, papel vegetal, papel cristal e outro papel calandrado transparente ou translúcido, em rolos ou em folhas."
"2525",Mica,"Mica, incluindo a mica clivada em lamelas irregulares (splittings), desperdícios de mica."
"2515",Mármore,"Mármores, travertinos, granitos belgas e outras pedras calcárias de cantaria ou de construção, de densidade aparente igual ou superior a 2,5, e alabastro, mesmo desbastados ou simplesmente cortados à serra ou por outro meio, em blocos ou placas de forma quadrada ou retangular."
"1108",Amidos ,"Amidos e féculas, inulina."
"4012",Pneumáticos,"Pneumáticos recauchutados ou usados, de borracha, pneus maciços ou ocos, bandas de rodagem para pneumáticos e flaps, de borracha."
"8209",Objetos Para Máquinas,"Plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de cermets."
"1902",Massas Alimentícias,"Massas alimentícias, mesmo cozidas ou recheadas (de carne ou de outras substâncias) ou preparadas de outro modo, tais como espaguete, macarrão, aletria, lasanha, nhoque, ravióli e canelone, cuscuz, mesmo preparado."
"9619",Artigos Higiênicos,"Absorventes (Pensos*) e tampões higiênicos, cueiros e fraldas para bebês e artigos higiênicos semelhantes, de qualquer matéria."
"9603",Vassouras,"Vassouras e escovas, mesmo que constituam partes de máquinas, de aparelhos ou de veículos, vassouras mecânicas de uso manual não motorizadas, pincéis e espanadores, cabeças preparadas para escovas, pincéis e artigos semelhantes, pads (talochas) e rolos para pintura, rodos de borracha ou de matérias flexíveis semelhantes."
"2846",Composto De Metais,"Compostos, inorgânicos ou orgânicos, dos metais das terras raras, de ítrio ou de escândio ou das misturas destes metais."
"1211",Plantas P Inseticidas E Similares,"Plantas, partes de plantas, sementes e frutos, das espécies utilizadas principalmente em perfumaria, medicina ou como inseticidas, parasiticidas e semelhantes, frescos, refrigerados, congelados ou secos, mesmo cortados, triturados ou em pó."
"5205",Fios De Algodão,"Fios de algodão (exceto linhas para costurar) que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho."
"0902",Chá,"Chá, mesmo aromatizado."
"4911",Outros Impressos,"Outros impressos, incluindo as estampas, gravuras e fotografias."
"6209",Vestuário Bebe,"Vestuário e seus acessórios, para bebês."
"7504",Pó De Niquel,"Pós e escamas, de níquel."
"8906",Outras Embarcações,"Outras embarcações, incluindo os navios de guerra e os barcos salva-vidas, exceto os barcos a remos."
"1202",Amendoim,"Amendoins não torrados nem de outro modo cozidos, mesmo descascados ou triturados."
"8508",Aspiradores,Aspiradores.
"5508",Linhas Para Costurar,"Linhas para costurar, de fibras sintéticas ou artificiais descontínuas, mesmo acondicionadas para venda a retalho."
"0502",Cerdas De Porco Ou De Javali,"Cerdas de porco ou de javali, pelos de texugo e outros pelos para escovas, pincéis e artigos semelhantes, desperdícios destas cerdas e pelos."
"2834",Nitritos E Similares,"Nitritos, nitratos."
"7008",Vidros isolantes,Vidros isolantes de paredes múltiplas. 
"6201",Sobretudo,"Sobretudos, japonas, gabões, capas, anoraques, casacos (blusões*) e semelhantes, de uso masculino, exceto os artigos da posição 62.03."
"7311",Recipientes para gases,"Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço"
"7212","Produtos Laminados Planos, De Ferro Ou Aço Não Ligado","Produtos laminados planos, de ferro ou aço não ligado, de largura inferior a 600 mm, folheados ou chapeados, ou revestidos."
"0405",Manteiga E Similares,"Manteiga e outras matérias gordas provenientes do leite, pasta de espalhar (barrar) de produtos provenientes do leite."
"3907",Poliacetal,"Poliacetais, outros poliéteres e resinas epóxidas, em formas primárias, policarbonatos, resinas alquídicas, poliésteres alílicos e outros poliésteres, em formas primárias."
"6116",Luvas,"Luvas, mitenes e semelhantes, de malha."
"8524",Módulos De Visualização De Tela,"Módulos de visualização de tela (ecrã*) plana, mesmo que incorporem telas sensíveis ao toque (ecrãs tácteis*)."
"9106",Aparelhos De Controle Do Tempo,"Aparelhos de controle do tempo e contadores de tempo, com mecanismo de relojoaria ou com motor síncrono (por exemplo, relógios de ponto, relógios datadores, contadores de horas)."
"2823",Óxidos De Titânio,Óxidos de titânio.
"1507",Óleo De Soja,"Óleo de soja e respectivas frações, mesmo refinados, mas não quimicamente modificados."
"4011",Pneumáticos,"Pneumáticos novos, de borracha."
"7202",Ferroligas,Ferroligas.
"0905",Baunilha,Baunilha.
"8214",Outros Artigos De Cutelaria,"Outros artigos de cutelaria (por exemplo, máquinas de cortar o cabelo ou tosquiar, fendeleiras, cutelos, incluindo os de açougue (talho) e de cozinha, e espátulas (corta-papéis)), utensílios e sortidos de utensílios de manicuros ou de pedicuros (incluindo as limas para unhas)."
"8419",Equipamentos De Laboratório,"Aparelhos, dispositivos ou equipamentos de laboratório, mesmo aquecidos eletricamente (exceto os fornos e outros aparelhos da posição 85.14), para tratamento de matérias por meio de operações que impliquem mudança de temperatura, tais como aquecimento, cozimento, torrefação, destilação, retificação, esterilização, pasteurização, estufagem, secagem, evaporação, vaporização, condensação ou arrefecimento, exceto os de uso doméstico, aquecedores de água não elétricos, de aquecimento instantâneo ou de acumulação."
"2513",Pedra-Pomes E Similares,"Pedra-pomes, esmeril, corindo natural, granada natural e outros abrasivos naturais, mesmo tratados termicamente."
"3825",Produtos Residuais Das Indústrias Químicas,"Produtos residuais das indústrias químicas ou das indústrias conexas, não especificados nem compreendidos noutras posições, resíduos municipais, lamas de tratamento de esgotos (lamas de depuração*), outros resíduos mencionados na Nota 6 deste Capítulo."
"0713",Legumes De Vagem Secos,"Legumes de vagem, secos, em grão, mesmo pelados ou partidos."
"6115",Meias-Calça,"Meias-calças, meias acima do joelho, meias até o joelho e artigos semelhantes, incluindo as meias calças, meias acima do joelho e meias até o joelho, de compressão degressiva (as meias para varizes, por exemplo), de malha."
"2839",Silicatos E Similares,"Silicatos, silicatos dos metais alcalinos comerciais."
"2601",Minério Ferro,"Minérios de ferro e seus concentrados, incluindo as piritas de ferro ustuladas (cinzas de piritas)."
"1008",Outros Cereais,"Trigo mourisco, painço e alpiste, outros cereais."
"9617",Garrafas Termicas,"Garrafas térmicas e outros recipientes isotérmicos, montados, com isolamento produzido pelo vácuo, e suas partes (exceto ampolas de vidro)."
"9702",Gravura,"Gravuras, estampas e litografias, originais."
"9402",Mobiliário Para Medicina,"Mobiliário para medicina, cirurgia, odontologia ou veterinária (por exemplo, mesas de operação, mesas de exames, camas dotadas de mecanismos para usos clínicos, cadeiras odontológicas), cadeiras para salões de cabeleireiro e cadeiras semelhantes, com dispositivos de orientação e de elevação, suas partes."
"2926",Compostos De Função Nitrila,Compostos de função nitrila.
"4910",Calendário,"Calendários de qualquer espécie, impressos, incluindo os blocos-calendários para desfolhar.  "
"7207",Produtos Semimanufaturados De Ferro Ou Aço Não Ligado,Produtos semimanufaturados de ferro ou aço não ligado.
"7506",Chapas De Níquel,"Chapas, tiras e folhas, de níquel."
"8805",Dispositivos Para Lançamento De Veículos Aéreos,"Aparelhos e dispositivos para lançamento de veículos aéreos, aparelhos e dispositivos para aterrissagem (aterragem) de veículos aéreos em porta-aviões e aparelhos e dispositivos semelhantes, aparelhos de treinamento de voo em terra, suas partes."
"3208",Tintas E Vernizes,"Tintas e vernizes, à base de polímeros sintéticos ou de polímeros naturais modificados, dispersos ou dissolvidos em meio não aquoso, soluções definidas na Nota 4 do presente Capítulo."
